index,assessment,tags,text,trend_id_res0,trend_id_res1,trend_id_res2,trend_id_res3,trend_id_res4,trend_id_res5,trend_id_res6,trend_id_res7,trend_id_res8,trend_id_res9,trend_id_res10,trend_id_res11,trend_id_res12,trend_id_res13,trend_id_res14,trend_id_res15,trend_id_res16,trend_id_res17,trend_id_res18,trend_id_res19,trend_id_res20,trend_id_res21,trend_id_res22,trend_id_res23,trend_id_res24,trend_id_res25,trend_id_res26,trend_id_res27,trend_id_res28,trend_id_res29,trend_id_res30,trend_id_res31,trend_id_res32,trend_id_res33,trend_id_res34,trend_id_res35,trend_id_res36,trend_id_res37,trend_id_res38,trend_id_res39,trend_id_res40,trend_id_res41,trend_id_res42,trend_id_res43,trend_id_res44,trend_id_res45,trend_id_res46,trend_id_res47,trend_id_res48,trend_id_res49,text_corr,llm_generated
5652,6.0,"{ASSORTMENT,PROMOTIONS,DELIVERY}","Маленький выбор товаров, хотелось бы ассортимент больше, а так вроде бы все хорошо",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Маленький выбор товаров, хотелось бы ассортимент больше, а так вроде бы все хорошо",0
18092,4.0,"{ASSORTMENT,PRICE,PRODUCTS_QUALITY,DELIVERY}",Быстро,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Быстро,0
13845,6.0,"{DELIVERY,PROMOTIONS,PRICE,ASSORTMENT,SUPPORT}",Доставка постоянно задерживается,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Доставка постоянно задерживается,0
25060,6.0,"{PRICE,PROMOTIONS,ASSORTMENT}",Наценка и ассортимент расстраивают,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Наценка и ассортимент расстраивают,0
1428,6.0,"{PRICE,PROMOTIONS}","Можно немного скинуть минимальную сумму заказа или оплачивать доставку ,если сумма меньше,как в Яндекс маркете",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Можно немного скинуть минимальную сумму заказа или оплачивать доставку ,если сумма меньше,как в Яндекс маркете",0
12201,3.0,"{ASSORTMENT,DELIVERY,CATALOG_NAVIGATION}","Очень долгая доставка, по факту обещают привезти за [NUM] минут, но все время опаздывают . Так же бы хотелось чуть более удобный поиск в приложении",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Очень долгая доставка, по факту обещают привезти за [NUM] минут, но все время опаздывают . Так же бы хотелось чуть более удобный поиск в приложении",0
25983,2.0,"{PRODUCTS_QUALITY,PRICE,PROMOTIONS}",В каждом заказе встречаются товары не подлежащего качества,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,В каждом заказе встречаются товары ненадлежащего качества,0
7259,2.0,"{ASSORTMENT,PRICE,CATALOG_NAVIGATION,DELIVERY}",Постоянно задерживается доставка!!! Цены выше. Больше не буду делать заказ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Постоянно задерживается доставка!!! Цены выше. Больше не буду делать заказ,0
6589,6.0,"{PRICE,PROMOTIONS,PAYMENT,DELIVERY,SUPPORT,ASSORTMENT,CATALOG_NAVIGATION}",Отличное приложение спасибо большое за доставку благодарю вас,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Отличное приложение спасибо большое за доставку благодарю вас,0
23571,0.0,{DELIVERY},Долго,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Долго,0
24005,3.0,{DELIVERY},Доставка крайне редко приезжает в срок,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Доставка крайне редко приезжает в срок,0
12988,6.0,"{PRICE,PROMOTIONS,PRODUCTS_QUALITY,ASSORTMENT,CATALOG_NAVIGATION,SUPPORT,DELIVERY}","Цены на некоторые позиции взлетели не оправданно, на некоторые ценник выше магазинного на [NUM]% -спекуляция чистой воды. Все реже и реже пользуюсь сервисом и скорее всего перестану использовать совсем. Будете и дальше терять клиентов из-за ценовой политики",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Цены на некоторые позиции взлетели неоправданно, на некоторые ценник выше магазинного на [NUM]% -спекуляция чистой воды. Все реже и реже пользуюсь сервисом и скорее всего перестану использовать совсем. Будете и дальше терять клиентов из-за ценовой политики",0
26199,0.0,{PRODUCTS_QUALITY},"Я настолько разочарована,что даже слов нет!Заказала черешню по скидке,но её невозможно есть так как она вся испорченная,просто позор вам,совести у вас нет!Как можно так относиться к своим покупателям?!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Я настолько разочарована,что даже слов нет!Заказала черешню по скидке,но её невозможно есть так как она вся испорченная,просто позор вам,совести у вас нет!Как можно так относиться к своим покупателям?!",0
23206,6.0,"{DELIVERY,SUPPORT}","Страдает доставка, очень долго, хотя пишите [NUM] мин., а везёте [NUM]-[NUM] мин.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Страдает доставка, очень долго, хотя пишите [NUM] мин., а везёте [NUM]-[NUM] мин.",0
8948,2.0,"{DELIVERY,SUPPORT}",Очень очень очень долгая доставка. [NUM] заказов подряд не привозили вовремя,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Очень очень очень долгая доставка. [NUM] заказов подряд не привозили вовремя,0
19895,6.0,"{PRICE,PROMOTIONS}","Удобно, быстро",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Удобно, быстро",0
2514,4.0,"{ASSORTMENT,PRODUCTS_QUALITY,PRICE,PROMOTIONS}",Расширить ассортимент товаров,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Расширить ассортимент товаров,0
21973,0.0,{ASSORTMENT},"В смысле ""убрали из заказа""? Я весь заказ ради этих морепродуктов делал!",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"В смысле ""убрали из заказа""? Я весь заказ ради этих морепродуктов делал!",0
22759,0.0,"{DELIVERY,SUPPORT,ASSORTMENT}","Доставка регулярно дольше, чем указано, курьера на карте не видно, служба поддержки не отвечает по заказу часами.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Доставка регулярно дольше, чем указано, курьера на карте не видно, служба поддержки не отвечает по заказу часами.",0
24605,0.0,"{PRICE,ASSORTMENT}",Дорого,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Дорого,0
608,0.0,"{ASSORTMENT,PRODUCTS_QUALITY,PRICE,PROMOTIONS,DELIVERY}",…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,…,0
24441,3.0,"{PAYMENT,SUPPORT}",Программу надо улучшить,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Программу надо улучшить,0
24458,1.0,{PAYMENT},"Заказ на сумму от [NUM]₽ это дорого, было бы лучше как было раньше [NUM]₽",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Заказ на сумму от [NUM]₽ это дорого, было бы лучше как было раньше [NUM]₽",0
327,6.0,"{PRODUCTS_QUALITY,PROMOTIONS,PRICE,ASSORTMENT}",Часто стали приезжать просроченные и некачественные продукты,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Часто стали приезжать просроченные и некачественные продукты,0
2274,2.0,{DELIVERY},Раньше доставка была в течение [NUM] мин сейчас стала больше и все время меняется время ожидания .,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Раньше доставка была в течение [NUM] мин сейчас стала больше и все время меняется время ожидания .,0
2736,3.0,"{PRODUCTS_QUALITY,DELIVERY,SUPPORT}",Не следите за качеством продуктов,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Не следите за качеством продуктов,0
